,jobTitle,meanPay,Range,company
1261,Interaction Designer,"$104,659/yr",Range: $100K - $109K,nvidia
1262,Bioinformatics Scientist,"$147,540/yr",Range: $143K - $152K,nvidia
1263,Senior Software Engineer - Architect,"$169,869/yr",Range: $142K - $200K,nvidia
1264,Senior User Experience Designer,"$178,259/yr",Range: $167K - $187K,nvidia
1265,Senior Graphic Designer,"$104,937/yr",Range: $73K - $139K,nvidia
1266,Marketing Specialist,"$93,498/yr",Range: $89K - $100K,nvidia
1267,Account Manager/Tegra Developer Relations,"$180,347/yr",Range: $174K - $189K,nvidia
1268,R&D Engineer,"$126,482/yr",Range: $114K - $139K,nvidia
1269,Staff Programmer/Analyst,"$136,583/yr",Range: $122K - $154K,nvidia
1270,Senior Design Verification Engineer,"$132,890/yr",Range: $122K - $143K,nvidia
1272,Sr. Software Engineer,"$151,977/yr",Range: $139K - $164K,nvidia
1273,Senior Account Manager,"$124,387/yr",Range: $111K - $137K,nvidia
1274,3D Artist,"$149,330/yr",Range: $140K - $157K,nvidia
1275,Director of Software,"$232,265/yr",Range: $171K - $300K,nvidia
1276,Web Engineer,"$111,647/yr",Range: $108K - $117K,nvidia
1277,Sales Analyst,"$115,432/yr",Range: $94K - $140K,nvidia
1278,Recruiter,"$144,361/yr",Range: $122K - $168K,nvidia
1279,Devops Engineer,"$145,816/yr",Range: $134K - $158K,nvidia
1281,BW Developer,"$116,102/yr",Range: $110K - $122K,nvidia
1282,"Director, Global Sales Management","$172,794/yr",Range: $166K - $181K,nvidia
1283,Senior Hardware Design Engineer,"$150,840/yr",Range: $137K - $165K,nvidia
1284,Creative Art Director,"$151,477/yr",Range: $139K - $166K,nvidia
1285,"Engineer, IT Advisory","$111,893/yr",Range: $90K - $134K,nvidia
1286,SAP Netweaver Developer,"$118,328/yr",Range: $102K - $135K,nvidia
1287,Senior Systems Design Engineer,"$119,328/yr",Range: $102K - $137K,nvidia
1288,Senior Marketing Program Manager,"$164,850/yr",Range: $149K - $183K,nvidia
1289,Demand Planner,"$83,384/yr",Range: $74K - $95K,nvidia
1290,Senior Systems Hardware Engineer,"$161,031/yr",Range: $135K - $189K,nvidia
1291,QA Engineer,"$85,542/yr",Range: $80K - $91K,nvidia
1292,Software Quality Assurance Engineer,"$94,639/yr",Range: $82K - $108K,nvidia
1293,Marketing Campaign Manager,"$123,059/yr",Range: $117K - $130K,nvidia
1294,"Director, Business Development Management","$160,402/yr",Range: $150K - $171K,nvidia
1295,Senior Technical Sourcer,"$74,424/yr",Range: $59K - $92K,nvidia
1296,Embedded Software Engineer,"$123,470/yr",Range: $119K - $129K,nvidia
1297,Software Engineer - Monthly,"$8,109/mo",Range: $7K - $9K,nvidia
1298,Marketing Program Manager,"$119,840/yr",Range: $94K - $148K,nvidia
1299,Senior CPU Verification Engineer,"$178,261/yr",Range: $163K - $197K,nvidia
1300,Senior Compiler Engineer,"$136,634/yr",Range: $119K - $154K,nvidia
1302,Senior Computer Engineer,"$153,092/yr",Range: $130K - $176K,nvidia
1303,Software Development Manager,"$133,951/yr",Range: $92K - $178K,nvidia
1304,Design Verification Engineer,"$102,486/yr",Range: $98K - $108K,nvidia
1305,Lead Validation Engineer,"$140,182/yr",Range: $133K - $147K,nvidia
1306,Global Account Manager,"$150,821/yr",Range: $136K - $167K,nvidia
1307,Business Systems Analyst IV,"$146,563/yr",Range: $139K - $155K,nvidia
1308,Technical Product Manager,"$159,278/yr",Range: $151K - $168K,nvidia
1309,Build and Release Engineer,"$132,699/yr",Range: $128K - $139K,nvidia
1310,Finance Manager,"$146,677/yr",Range: $125K - $167K,nvidia
1311,Electrical Engineer,"$116,382/yr",Range: $97K - $138K,nvidia
1312,Senior Web Applications Developer,"$124,852/yr",Range: $119K - $133K,nvidia
1313,Hardware Engineer - Monthly,"$4,747/mo",Range: $4K - $5K,nvidia
1314,ASIC Verification Engineer,"$149,895/yr",Range: $123K - $176K,nvidia
1316,Operations Research Analyst,"$112,559/yr",Range: $90K - $136K,nvidia
1317,Principal Architect,"$187,898/yr",Range: $154K - $222K,nvidia
1318,Lead Design Engineer,"$131,779/yr",Range: $96K - $170K,nvidia
1319,Data Scientist,"$147,211/yr",Range: $130K - $167K,nvidia
1320,Sales Executive,"$140,502/yr",Range: $114K - $169K,nvidia
1321,IT Staff Engineer,"$141,651/yr",Range: $134K - $147K,nvidia
1322,Infrastructure Architect,"$132,970/yr",Range: $119K - $149K,nvidia
1323,Design Engineering Manager,"$160,982/yr",Range: $154K - $169K,nvidia
1324,Senior Reporting Analyst,"$104,856/yr",Range: $101K - $110K,nvidia
1327,Campus Recruiter,"$106,764/yr",Range: $102K - $111K,nvidia
1328,Logistics Analyst,"$82,574/yr",Range: $80K - $86K,nvidia
1330,DSP,"$45,696/yr",Range: $44K - $48K,nvidia
1332,Visual Designer,"$101,560/yr",Range: $96K - $106K,nvidia
1333,Program Analyst,"$91,703/yr",Range: $88K - $95K,nvidia
1334,Senior Human Resources Generalist,"$121,050/yr",Range: $116K - $126K,nvidia
1335,Senior Infrastructure Engineer,"$112,252/yr",Range: $107K - $116K,nvidia
1336,ETL Developer,"$108,134/yr",Range: $104K - $112K,nvidia
1339,Senior R&D Engineer,"$137,725/yr",Range: $132K - $143K,nvidia
1341,Copywriter,"$98,623/yr",Range: $95K - $103K,nvidia
1343,Principal Research Scientist,"$256,715/yr",Range: $248K - $265K,nvidia
1344,Scheduler,"$73,603/yr",Range: $71K - $76K,nvidia
1345,Production Engineer,"$102,289/yr",Range: $98K - $106K,nvidia
1346,Senior Hardware Engineer - Monthly,"$14,922/mo",Range: $14K - $15K,nvidia
1347,Graphic Designer,"$64,291/yr",Range: $62K - $67K,nvidia
1348,Software Mobile CE,"$117,108/yr",Range: $113K - $122K,nvidia
1349,Senior Channel Marketing Manager,"$171,357/yr",Range: $163K - $177K,nvidia
1351,Director of Quality,"$217,653/yr",Range: $207K - $228K,nvidia
1352,Supply Chain Planner,"$95,306/yr",Range: $92K - $100K,nvidia
1354,Web Developer,"$102,181/yr",Range: $99K - $106K,nvidia
1355,Senior Mixed Signal Design Validation Engineer,"$126,757/yr",Range: $121K - $132K,nvidia
1356,Senior Technical Product Manager,"$196,000/yr",Range: $189K - $203K,nvidia
1357,Senior Programmer Analyst,"$138,898/yr",Range: $133K - $145K,nvidia
1359,Systems Architect,"$136,336/yr",Range: $130K - $143K,nvidia
1360,Senior Unix Systems Engineer,"$147,734/yr",Range: $141K - $152K,nvidia
1361,Senior Manufacturing Engineering Manager,"$238,183/yr",Range: $230K - $247K,nvidia
1363,Senior Engineering Product Manager,"$211,479/yr",Range: $204K - $221K,nvidia
1364,IT Senior Specialist,"$108,034/yr",Range: $104K - $111K,nvidia
1365,Sr Verification Engineer,"$145,367/yr",Range: $140K - $151K,nvidia
1366,Mobile Developer,"$157,742/yr",Range: $152K - $163K,nvidia
1367,QA Technician,"$49,348/yr",Range: $47K - $51K,nvidia
1368,HW Design Engineer,"$148,247/yr",Range: $142K - $155K,nvidia
1369,3D Designer,"$86,407/yr",Range: $84K - $90K,nvidia
1370,Computer Vision Engineer,"$135,171/yr",Range: $130K - $141K,nvidia
1372,Unix Systems Administrator,"$124,850/yr",Range: $119K - $130K,nvidia
1373,Quality Assurance Manager,"$159,197/yr",Range: $152K - $166K,nvidia
1374,Physical Therapist,"$90,597/yr",Range: $87K - $94K,nvidia
1375,Paralegal,"$117,163/yr",Range: $113K - $121K,nvidia
1376,Senior FP&A Manager,"$153,639/yr",Range: $148K - $160K,nvidia
1377,"Senior Manager, Supply Chain","$166,572/yr",Range: $161K - $174K,nvidia
1378,Communications Manager,"$121,025/yr",Range: $117K - $125K,nvidia
1379,Computer Systems Engineer,"$108,460/yr",Range: $104K - $112K,nvidia
1381,OR,"$105,150/yr",Range: $101K - $110K,nvidia
1383,Washington,"$122,562/yr",Range: $117K - $127K,nvidia
1385,ASIC Engineering,"$161,517/yr",Range: $156K - $167K,nvidia
1386,Security Analyst,"$114,708/yr",Range: $109K - $120K,nvidia
1387,GPU QA Engineer,"$81,689/yr",Range: $78K - $85K,nvidia
1388,Senior Hardware Validation Engineer,"$145,569/yr",Range: $141K - $152K,nvidia
1389,Area Supervisor,"$57,069/yr",Range: $55K - $59K,nvidia
1390,"Director, Learning and Development Specialist","$161,578/yr",Range: $155K - $169K,nvidia
1392,Senior Systems Software Engineer,"$153,408/yr",Range: $148K - $159K,nvidia
1394,Software QA Engineering Manager,"$144,987/yr",Range: $141K - $149K,nvidia
1395,Business Analyst,"$106,301/yr",Range: $103K - $111K,nvidia
1396,Network Engineer,"$152,336/yr",Range: $145K - $158K,nvidia
1397,Senior Circuit Methodology Engineer,"$163,098/yr",Range: $156K - $171K,nvidia
1398,Senior Director Engineering,"$279,962/yr",Range: $268K - $291K,nvidia
1399,SOX Compliance Analyst,"$94,163/yr",Range: $90K - $99K,nvidia
1402,Head Global Marketing Manager,"$163,875/yr",Range: $158K - $172K,nvidia
1403,Human Resource Business Partner,"$118,652/yr",Range: $113K - $122K,nvidia
1404,Senior Video Software Engineer,"$171,278/yr",Range: $166K - $179K,nvidia
1405,Senior UI Engineer,"$154,326/yr",Range: $148K - $160K,nvidia
1407,Principal Design Engineer,"$232,793/yr",Range: $223K - $242K,nvidia
1409,Product Management Manager,"$157,851/yr",Range: $152K - $163K,nvidia
1410,Senior Director of Engineering,"$279,790/yr",Range: $269K - $293K,nvidia
1411,Business Manager,"$176,159/yr",Range: $170K - $185K,nvidia
1412,Marketing Systems Analyst,"$127,037/yr",Range: $122K - $132K,nvidia
1413,Platform Engineer,"$137,378/yr",Range: $131K - $143K,nvidia
1414,Operations Specialist,"$74,665/yr",Range: $71K - $77K,nvidia
1415,Contract Manager,"$129,373/yr",Range: $123K - $134K,nvidia
1416,Graphic Designer IV,"$99,395/yr",Range: $96K - $103K,nvidia
1417,Demand Planner Analyst - Contractor,"$65,033/yr",Range: $63K - $68K,nvidia
1418,Board Solutions Validation Engineer,"$115,758/yr",Range: $112K - $121K,nvidia
1419,Corporate Counsel,"$196,170/yr",Range: $187K - $203K,nvidia
1420,Event Coordinator,"$61,905/yr",Range: $59K - $65K,nvidia
1421,Senior Automation Engineer,"$151,863/yr",Range: $146K - $157K,nvidia
1422,Embedded Systems Specialist,"$133,638/yr",Range: $129K - $139K,nvidia
1423,Management,"$205,905/yr",Range: $198K - $214K,nvidia
1424,Web Designer,"$106,235/yr",Range: $103K - $109K,nvidia
1425,Foundry Manager,"$172,647/yr",Range: $166K - $181K,nvidia
1426,Computer Engineer/Architect,"$133,173/yr",Range: $127K - $139K,nvidia
1427,HW Validation Engineer,"$110,953/yr",Range: $106K - $116K,nvidia
1428,Hardware Architect,"$117,433/yr",Range: $113K - $121K,nvidia
1429,Developer Technology Software Manager,"$186,433/yr",Range: $179K - $194K,nvidia
1431,Industrial Designer,"$85,662/yr",Range: $82K - $88K,nvidia
1432,Senior Information Security Engineer,"$139,095/yr",Range: $134K - $145K,nvidia
1433,Operations Engineer,"$124,296/yr",Range: $119K - $129K,nvidia
1439,Software Engineer,"$135,048/yr",Range: $61K - $216K,apple
1444,Senior Software Engineer,"$165,036/yr",Range: $39K - $265K,apple
1450,Mac Genius,"$47,919/yr",Range: $33K - $68K,apple
1452,Manager,"$80,520/yr",Range: $24K - $273K,apple
1454,Apple Genius,"$47,156/yr",Range: $36K - $65K,apple
1463,Global Supply Manager,"$136,486/yr",Range: $97K - $208K,apple
1465,Business Specialist,"$53,607/yr",Range: $36K - $74K,apple
1466,Software QA Engineer,"$114,252/yr",Range: $87K - $146K,apple
1467,Business Manager,"$91,806/yr",Range: $59K - $172K,apple
1470,Customer Service Representative,"$35,010/yr",Range: $31K - $53K,apple
1475,Software Engineer III,"$135,171/yr",Range: $102K - $158K,apple
1478,Creative,"$46,359/yr",Range: $34K - $117K,apple
1479,Business Leader,"$100,553/yr",Range: $95K - $156K,apple
1480,Graphic Artist,"$52,713/yr",Range: $50K - $70K,apple
1481,Solutions Engineer,"$107,910/yr",Range: $102K - $123K,apple
1482,Business Manager Leader,"$96,182/yr",Range: $86K - $113K,apple
1484,Apple Expert,"$40,827/yr",Range: $29K - $54K,apple
1485,Apple Genius Leader,"$53,179/yr",Range: $50K - $63K,apple
1486,Product Design Engineer,"$134,422/yr",Range: $97K - $203K,apple
1487,Specialist,"$37,848/yr",Range: $21K - $53K,apple
1489,Inventory Specialist,"$42,315/yr",Range: $34K - $54K,apple
1490,Senior Manager,"$107,484/yr",Range: $70K - $244K,apple
1493,Service Specialist,"$38,162/yr",Range: $35K - $43K,apple
1494,Software Engineer IV,"$167,874/yr",Range: $124K - $208K,apple
1496,Senior  Manager,"$107,950/yr",Range: $95K - $123K,apple
1497,Project Manager,"$112,619/yr",Range: $57K - $165K,apple
1498,Hardware Engineer,"$135,171/yr",Range: $100K - $182K,apple
1499,Genius,"$46,571/yr",Range: $40K - $59K,apple
1502,Engineering Program Manager,"$151,297/yr",Range: $108K - $200K,apple
1503,Genius Administrator,"$42,219/yr",Range: $35K - $52K,apple
1504,Software Development Engineer III,"$125,424/yr",Range: $85K - $145K,apple
1505,Financial Analyst,"$98,313/yr",Range: $54K - $146K,apple
1507,QA Engineer,"$112,657/yr",Range: $71K - $154K,apple
1509,Expert,"$44,163/yr",Range: $32K - $60K,apple
1510,Engineering Project Manager,"$140,547/yr",Range: $99K - $177K,apple
1511,Senior Hardware Engineer,"$171,388/yr",Range: $118K - $231K,apple
1513,Lead Genius,"$63,635/yr",Range: $45K - $78K,apple
1516,Systems Engineer,"$119,047/yr",Range: $65K - $158K,apple
1517,Software Engineering Manager,"$186,610/yr",Range: $136K - $235K,apple
1518,Software Development Engineer IV,"$161,461/yr",Range: $132K - $195K,apple
1520,Apple At Home Advisor,"$38,608/yr",Range: $27K - $49K,apple
1521,Technical Specialist,"$36,855/yr",Range: $30K - $45K,apple
1522,Program Manager,"$129,574/yr",Range: $76K - $173K,apple
1524,Senior Financial Analyst,"$118,791/yr",Range: $90K - $141K,apple
1529,Software Engineer - Applications,"$143,402/yr",Range: $104K - $198K,apple
1533,Engineering Manager,"$193,232/yr",Range: $108K - $237K,apple
1534,Apple Solutions Consultant,"$41,164/yr",Range: $33K - $70K,apple
1536,Technical Expert,"$43,000/yr",Range: $30K - $53K,apple
1539,Firmware Engineer,"$118,587/yr",Range: $102K - $158K,apple
1541,Business Expert,"$49,234/yr",Range: $39K - $61K,apple
1542,AppleCare Senior Advisor,"$46,259/yr",Range: $38K - $58K,apple
1543,Apple Retail - Expert,"$46,183/yr",Range: $37K - $55K,apple
1544,Engineer,"$126,476/yr",Range: $91K - $170K,apple
1546,Mac Specialist (Apple Store),"$32,904/yr",Range: $24K - $65K,apple
1547,RF Systems Engineer,"$130,511/yr",Range: $108K - $179K,apple
1548,Store Manager,"$81,376/yr",Range: $50K - $133K,apple
1549,Operations Program Manager,"$138,618/yr",Range: $102K - $170K,apple
1550,Assistant Store Manager,"$60,347/yr",Range: $51K - $84K,apple
1552,Team Manager,"$72,139/yr",Range: $53K - $104K,apple
1554,Marketing Manager,"$146,193/yr",Range: $76K - $210K,apple
1555,Account Executive,"$97,030/yr",Range: $56K - $139K,apple
1558,Software Develop Eng III,"$123,638/yr",Range: $110K - $148K,apple
1560,Test Engineer,"$125,631/yr",Range: $102K - $151K,apple
1561,Physical Design Engineer,"$137,168/yr",Range: $101K - $177K,apple
1562,Software Engineer II,"$119,920/yr",Range: $103K - $166K,apple
1566,Data Scientist,"$137,560/yr",Range: $102K - $189K,apple
1567,ASIC Design Engineer,"$143,295/yr",Range: $112K - $193K,apple
1568,Applecare At Home Advisor,"$38,121/yr",Range: $30K - $50K,apple
1569,Senior Advisor,"$46,673/yr",Range: $39K - $65K,apple
1570,Business Systems Analyst,"$115,427/yr",Range: $68K - $157K,apple
1571,Career Counselor,"$38,534/yr",Range: $37K - $44K,apple
1572,Verification Engineer,"$118,916/yr",Range: $98K - $172K,apple
1573,Family Room Specialist,"$35,325/yr",Range: $31K - $41K,apple
1574,Retail Sales Consultant,"$40,905/yr",Range: $39K - $44K,apple
1575,Senior Software QA Engineer,"$135,772/yr",Range: $101K - $150K,apple
1576,Apple Store Leader Program Associate,"$53,676/yr",Range: $47K - $62K,apple
1578,Software Engineer - Applications III,"$129,580/yr",Range: $121K - $152K,apple
1580,Business Analyst,"$93,687/yr",Range: $56K - $135K,apple
1581,Senior Project Manager,"$147,260/yr",Range: $113K - $172K,apple
1582,Mechanical Engineer,"$132,353/yr",Range: $83K - $230K,apple
1583,WW Supply Demand Planner,"$138,191/yr",Range: $109K - $146K,apple
1585,Software QA Engineer III,"$118,755/yr",Range: $100K - $151K,apple
1586,Product Manager,"$140,547/yr",Range: $106K - $176K,apple
1587,Senior Systems Engineer,"$138,335/yr",Range: $77K - $189K,apple
1590,Sales Specialist,"$36,717/yr",Range: $25K - $56K,apple
1591,Hardware Development Engineer,"$145,209/yr",Range: $111K - $176K,apple
1592,Industrial Engineer,"$110,391/yr",Range: $87K - $154K,apple
1593,Electrical Engineer,"$131,478/yr",Range: $94K - $166K,apple
1594,Localization Engineer,"$109,211/yr",Range: $95K - $152K,apple
1596,Engineering Project Manager IV,"$149,417/yr",Range: $131K - $167K,apple
1598,Senior Engineering Project Manager,"$160,889/yr",Range: $135K - $192K,apple
1599,Senior Product Manager,"$180,326/yr",Range: $163K - $216K,apple
1600,Software Applications Engineer IV,"$142,147/yr",Range: $134K - $163K,apple
1601,Systems Design Engineer,"$119,536/yr",Range: $99K - $157K,apple
1602,Senior Engineering Program Manager,"$170,583/yr",Range: $154K - $203K,apple
1603,Data Analyst,"$99,186/yr",Range: $39K - $150K,apple
1604,Admissions Representative,"$44,987/yr",Range: $43K - $50K,apple
1605,Engineering Project Manager III,"$134,661/yr",Range: $100K - $166K,apple
1606,Software Engineer V,"$192,043/yr",Range: $159K - $220K,apple
1607,Supplier Quality Engineer,"$122,194/yr",Range: $109K - $141K,apple
1608,Technical Program Manager III,"$146,838/yr",Range: $108K - $160K,apple
1609,Senior Program Manager,"$157,198/yr",Range: $125K - $198K,apple
1610,Apple Family Room Specialist,"$35,656/yr",Range: $29K - $51K,apple
1611,Retail Merchandiser,"$33,027/yr",Range: $31K - $40K,apple
1613,Operations Specialist,"$37,764/yr",Range: $33K - $49K,apple
1614,Technical Project Manager,"$143,051/yr",Range: $109K - $184K,apple
1615,Systems Software Engineer,"$144,421/yr",Range: $117K - $182K,apple
1618,Lead Mac Genius,"$58,866/yr",Range: $49K - $77K,apple
1619,Senior Engineering Manager,"$229,012/yr",Range: $210K - $255K,apple
1620,Ios Software Engineer,"$130,242/yr",Range: $97K - $164K,apple
1622,Senior Technical Advisor,"$45,648/yr",Range: $40K - $57K,apple
1623,Lead,"$61,305/yr",Range: $50K - $69K,apple
1625,Information Systems Engineer,"$159,949/yr",Range: $100K - $174K,apple
1628,Senior Network Engineer,"$150,739/yr",Range: $114K - $171K,apple
1630,Retail Store Manager,"$74,546/yr",Range: $52K - $130K,apple
1634,Creative Trainer,"$44,082/yr",Range: $37K - $53K,apple
1635,Antenna Engineer,"$139,652/yr",Range: $134K - $164K,apple
1636,Senior Software Development Engineer,"$155,347/yr",Range: $98K - $194K,apple
1638,Hardware Engineer IV,"$166,415/yr",Range: $131K - $185K,apple
1639,Software Development Engineer I,"$140,018/yr",Range: $99K - $171K,apple
1644,Product Marketing Manager,"$147,513/yr",Range: $108K - $170K,apple
1645,Account Manager,"$80,890/yr",Range: $49K - $98K,apple
1646,Art Director,"$162,866/yr",Range: $120K - $170K,apple
1647,Materials Program Manager,"$126,605/yr",Range: $112K - $149K,apple
1648,Lead Creative,"$56,128/yr",Range: $49K - $153K,apple
1649,Software Develop Eng II,"$106,465/yr",Range: $102K - $113K,apple
1650,Database Administrator,"$136,300/yr",Range: $84K - $146K,apple
1651,Specialist,"$21,994/yr",Range: $11K - $35K,apple
1652,Lead Software Engineer,"$164,096/yr",Range: $94K - $184K,apple
1655,Sales Associate,"$43,753/yr",Range: $27K - $102K,apple
1656,CA,"$132,730/yr",Range: $64K - $212K,apple
1657,Senior Engineer,"$164,573/yr",Range: $140K - $215K,apple
1658,Instructional Designer,"$88,002/yr",Range: $57K - $120K,apple
1659,Store Leader,"$129,373/yr",Range: $95K - $156K,apple
1660,Systems Design Engineer IV,"$148,300/yr",Range: $124K - $162K,apple
1661,Reliability Engineer,"$123,375/yr",Range: $106K - $153K,apple
1662,Acoustic Engineer,"$151,620/yr",Range: $115K - $219K,apple
1663,Supply Demand Planner,"$113,146/yr",Range: $97K - $143K,apple
1664,UI Engineer,"$108,986/yr",Range: $100K - $143K,apple
1668,IOS Cellular Software Field Test Engineer,"$95,215/yr",Range: $89K - $136K,apple
1669,General Manager,"$114,874/yr",Range: $80K - $140K,apple
1670,Redzone Specialist,"$35,479/yr",Range: $24K - $41K,apple
1671,Tech Support T2,"$47,547/yr",Range: $43K - $58K,apple
1672,Embedded Software Engineer,"$129,384/yr",Range: $114K - $163K,apple
1674,Software QA Manager,"$149,246/yr",Range: $136K - $176K,apple
1675,Design Engineer,"$142,699/yr",Range: $98K - $160K,apple
1678,Web Developer,"$111,614/yr",Range: $68K - $136K,apple
1679,Electronic Design Engineer,"$139,483/yr",Range: $95K - $163K,apple
1680,Administrative Assistant,"$66,813/yr",Range: $42K - $74K,apple
1681,AppleCare Senior Technical Advisor,"$46,156/yr",Range: $38K - $54K,apple
1684,AppleCare Team Manager,"$73,015/yr",Range: $67K - $97K,apple
1685,Apple Retail Specialist,"$36,276/yr",Range: $32K - $39K,apple
1686,Visual Designer,"$105,327/yr",Range: $84K - $148K,apple
1687,Sales,"$49,382/yr",Range: $12K - $145K,apple
1688,Systems Software Developer,"$119,414/yr",Range: $112K - $127K,apple
1689,Mechanical Engineer - Quality,"$131,622/yr",Range: $126K - $159K,apple
1694,Preservation and Operations Specialist,"$43,287/yr",Range: $34K - $53K,apple
1695,Global Sourcing Manager,"$139,195/yr",Range: $125K - $159K,apple
1696,Engineering Manager I,"$165,413/yr",Range: $146K - $190K,apple
1697,Design Verification Engineer,"$126,782/yr",Range: $112K - $138K,apple
1698,Manager II,"$150,936/yr",Range: $81K - $186K,apple
1699,Manufacturing Design Engineer,"$126,320/yr",Range: $98K - $170K,apple
1701,Technical Program Manager,"$140,643/yr",Range: $115K - $190K,apple
1702,Recruiter,"$109,813/yr",Range: $52K - $163K,apple
1704,Graphic Designer,"$107,189/yr",Range: $83K - $127K,apple
1706,Americas Supply Demand Planner,"$105,490/yr",Range: $78K - $135K,apple
1707,Sales Manager,"$78,355/yr",Range: $37K - $137K,apple
1708,Systems Administrator,"$119,425/yr",Range: $85K - $141K,apple
1709,Software Developer,"$81,578/yr",Range: $65K - $136K,apple
1710,Senior Data Scientist,"$177,097/yr",Range: $150K - $211K,apple
1713,Product Specialist,"$43,000/yr",Range: $29K - $73K,apple
1714,IOS Software Developer,"$124,837/yr",Range: $124K - $172K,apple
1715,Director,"$269,528/yr",Range: $215K - $286K,apple
1717,Software Engineer I,"$108,717/yr",Range: $94K - $132K,apple
1718,Recruiting Coordinator,"$69,297/yr",Range: $51K - $81K,apple
1720,Customer Relations,"$50,750/yr",Range: $43K - $53K,apple
1722,Operations Manager,"$114,520/yr",Range: $77K - $146K,apple
1726,Senior Product Marketing Manager,"$163,512/yr",Range: $126K - $232K,apple
1728,Pro,"$52,044/yr",Range: $45K - $61K,apple
1729,Senior Account Executive,"$102,646/yr",Range: $55K - $194K,apple
1732,Senior Technical Support Advisor,"$46,586/yr",Range: $39K - $49K,apple
1734,Solutions Consultant,"$40,982/yr",Range: $34K - $96K,apple
1735,Site Reliability Engineer,"$123,724/yr",Range: $84K - $180K,apple
1736,User Interface Designer,"$123,827/yr",Range: $104K - $162K,apple
1738,Apple Business Specialist,"$47,318/yr",Range: $41K - $56K,apple
1739,Industrial Designer,"$198,908/yr",Range: $139K - $229K,apple
1741,Computer Engineer,"$100,361/yr",Range: $63K - $130K,apple
1742,Senior Product Design Engineer,"$160,373/yr",Range: $140K - $216K,apple
1743,Senior Process Engineer,"$167,120/yr",Range: $157K - $202K,apple
1744,Analyst,"$89,037/yr",Range: $54K - $128K,apple
1745,Technical Support Agent,"$41,669/yr",Range: $36K - $46K,apple
1746,Hardware Design Engineer,"$146,403/yr",Range: $134K - $153K,apple
1748,Machine Learning Engineer,"$146,579/yr",Range: $112K - $183K,apple
1749,Materials Manager,"$124,611/yr",Range: $117K - $223K,apple
1751,CAD Engineer,"$134,184/yr",Range: $110K - $184K,apple
1752,Executive Assistant,"$99,466/yr",Range: $58K - $117K,apple
1753,ASIC Design Engineer III,"$117,217/yr",Range: $101K - $156K,apple
1754,Manufacturing Engineer,"$125,201/yr",Range: $92K - $140K,apple
1755,Electrical Hardware Design Engineer,"$117,866/yr",Range: $86K - $171K,apple
1757,Apple (Genius),"$45,346/yr",Range: $36K - $50K,apple
1758,IS&T Technical Project Manager,"$154,433/yr",Range: $140K - $171K,apple
1759,At Home Senior Advisor,"$43,068/yr",Range: $39K - $48K,apple
1760,Project Coordinator,"$73,312/yr",Range: $47K - $87K,apple
1761,Producer,"$104,482/yr",Range: $70K - $177K,apple
1762,Learning Specialist,"$72,015/yr",Range: $70K - $88K,apple
1763,Localization Project Manager,"$98,324/yr",Range: $91K - $149K,apple
1768,Business Operations Manager,"$132,879/yr",Range: $64K - $176K,apple
1769,Senior Marketing Manager,"$166,897/yr",Range: $94K - $215K,apple
1770,Global Commodity Manager,"$136,495/yr",Range: $128K - $146K,apple
1774,Computer Support Specialist,"$60,577/yr",Range: $57K - $74K,apple
1775,Software Engineer Applications IV,"$148,848/yr",Range: $136K - $169K,apple
1776,Hardware Engineering Program Manager,"$158,723/yr",Range: $117K - $174K,apple
1777,Systems Design Engineer III,"$125,435/yr",Range: $110K - $147K,apple
1778,Computer Systems Analyst,"$119,055/yr",Range: $95K - $162K,apple
1780,Network Engineer,"$139,518/yr",Range: $110K - $151K,apple
1781,Sr. Software Engineer,"$167,365/yr",Range: $100K - $190K,apple
1782,Data Center Technician,"$73,880/yr",Range: $57K - $94K,apple
1785,Wireless Systems Engineer,"$139,331/yr",Range: $85K - $194K,apple
1788,Site Support Engineer,"$68,833/yr",Range: $55K - $125K,apple
1790,ASLP Associate,"$55,559/yr",Range: $50K - $65K,apple
1791,Technical Translator,"$107,608/yr",Range: $94K - $136K,apple
1793,Apple AHA,"$40,296/yr",Range: $29K - $48K,apple
1795,Operations Expert,"$50,697/yr",Range: $46K - $60K,apple
1796,Software Test Engineer,"$126,240/yr",Range: $91K - $153K,apple
1797,Individual Contributor,"$128,655/yr",Range: $78K - $187K,apple
1798,Optical Design Engineer,"$151,144/yr",Range: $137K - $166K,apple
1799,CAD Sculptor/Digital 3D Modeler,"$172,183/yr",Range: $131K - $200K,apple
1800,Senior Visual Designer,"$136,739/yr",Range: $107K - $162K,apple
1801,Sales Specialist,"$20,395/yr",Range: $17K - $44K,apple
1802,Mac Expert,"$42,355/yr",Range: $39K - $45K,apple
1803,Senior Software Engineering Manager,"$210,357/yr",Range: $88K - $248K,apple
1804,Camera Module Design Engineer,"$139,040/yr",Range: $117K - $156K,apple
1805,Supply Base Engineer,"$117,489/yr",Range: $102K - $121K,apple
1806,Senior Director,"$325,381/yr",Range: $139K - $341K,apple
1808,GSM,"$158,091/yr",Range: $102K - $189K,apple
1809,Accountant,"$71,702/yr",Range: $22K - $89K,apple
1810,Operations Product Manager,"$144,543/yr",Range: $131K - $153K,apple
1811,IOS Technical Support Advisor,"$42,646/yr",Range: $31K - $50K,apple
1814,Systems Analyst,"$134,235/yr",Range: $114K - $144K,apple
1815,Junior Software Engineer,"$102,638/yr",Range: $83K - $123K,apple
