,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,company
632,Tue Sep 24 2019 10:34:12 GMT-0700 (Pacific Daylight Time), Smts,,Current Employee ,Great Company,I have been working at VMware full-time for more than 8 years,,Lots of new technologies to work on.,Commute to work is very bad.,,3.0,2.0,3.0,2.0,2.0,3.0,vmware
633,Sat Aug 31 2019 10:47:53 GMT-0700 (Pacific Daylight Time), Customer Success Manager,"Santa Clara, CA",Current Employee ,"Great, big company",I have been working at VMware full-time for less than a year,1.0,"Awesome benefits, lots of opportunity for growth",Cannot think of any right now,,5.0,4.0,4.0,5.0,5.0,4.0,vmware
634,Fri Aug 30 2019 14:31:14 GMT-0700 (Pacific Daylight Time), Client Executive,"Phoenix, AZ",Former Employee ,SLED,I worked at VMware full-time for more than 3 years,,"Unlimited PTO, strong market share, great benefits","Unreasonable Quotas, complicated comp system, frequently changing processes",,5.0,4.0,4.0,5.0,5.0,3.0,vmware
635,Thu Aug 15 2019 08:17:22 GMT-0700 (Pacific Daylight Time), Consulting Architect,"Palo Alto, CA",Current Employee ,Everything you hear about VMware is true!,I have been working at VMware full-time for more than 5 years,4.0,"Outstanding culture, technology leader. I often tell people that working at VMware is the most difficult, but also most rewarding position I've held in over 20 years. VMware won't spoon-fed you, but will ensure that you are given the tools and opportunities to go as far as you want. Your success at VMware is directly tied to your effort that you put in.","Compensation is little below other technology companies in the Bay area. Some career paths, particularly those in Professional Services, have a limited path.","Keep doing what you're doing. Live the EPIC2 values. Continue to be inclusive, as that makes us a stronger company. Partnerships with other companies such a Microsoft, Amazon and Goggle are absolutely a move in the right direction.",5.0,4.0,5.0,4.0,4.0,5.0,vmware
636,Wed Sep 11 2019 13:16:26 GMT-0700 (Pacific Daylight Time), Senior Financial Analyst,"Palo Alto, CA",Former Employee ,Amazing place to work,I worked at VMware full-time for more than 3 years,,Open minded culture and nice people overall,Working hour were too long sometimes,,4.0,4.0,5.0,4.0,3.0,5.0,vmware
637,Mon Sep 09 2019 20:16:06 GMT-0700 (Pacific Daylight Time), Open Cloud Expert,"Palo Alto, CA",Former Employee ,Great Experience and Most Professional Work Environment,I worked at VMware full-time for more than a year,,"Learning opportunities, *very* clear career progression, great compensation and real challenges. The level of professionalism and respect at VMware is unmatched. Great place to work.","The pressure to learn new technologies is intense, and the high stakes for some of the work can be stressful.",Make it easier to work at overseas offices.,4.0,4.0,5.0,5.0,5.0,4.0,vmware
638,Thu Sep 05 2019 22:43:07 GMT-0700 (Pacific Daylight Time), Staff Engineer,"Palo Alto, CA",Current Employee ,Great company in general with downsides of being a large company,I have been working at VMware full-time for more than 8 years,1.0,"Great benefits, and work environment",Lots of politics as expected from any big company. I think vmware has a bit more of it.,"Top 3 levels of execs need to get back in touch with the roots of the company i.e. the engineers. Seems like with multiple layers of management, due to some bad actors the engineering teams suffer badly.",4.0,3.0,3.0,3.0,3.0,1.0,vmware
639,Wed Aug 21 2019 20:44:15 GMT-0700 (Pacific Daylight Time), Senior Member of Technical Staff,"Palo Alto, CA",Current Employee ,Great company with smart ppl,I have been working at VMware full-time for more than 5 years,1.0,Good place to work if you are into systems programming,Soccer field badly needs work !,,5.0,5.0,5.0,5.0,4.0,3.0,vmware
640,Wed Sep 04 2019 19:59:17 GMT-0700 (Pacific Daylight Time), TSE II,"Broomfield, CO",Current Employee ,Great for career development / work life balance not so great,I have been working at VMware full-time for more than 3 years,2.0,You will become a battle hardened engineer,Will get worked to death after they get you ramped up,Could use a lot more transparency between employees and leadership especially when it comes to preparing for upcoming products that will be supported. This would help a lot by allowing employee input and buy in direction the company is going,3.0,2.0,2.0,3.0,2.0,2.0,vmware
641,Fri Aug 23 2019 10:24:28 GMT-0700 (Pacific Daylight Time), Staff Engineer,"Palo Alto, CA",Current Employee ,"Great company, good benefits",I have been working at VMware full-time for more than 8 years,,"Great company, good salary, great benefits","Over staffed, certain departments are fast paced",,5.0,5.0,5.0,5.0,5.0,3.0,vmware
642,Thu Sep 05 2019 08:53:33 GMT-0700 (Pacific Daylight Time), Member of Technical Staff,"Palo Alto, CA",Current Employee ,Work life balance well company,I have been working at VMware full-time for more than a year,,A lot of projects can be done. But work-life balance is good.,Promotion is slow and a lot of maintenance work in my team.,,4.0,5.0,4.0,4.0,3.0,4.0,vmware
643,Thu Aug 29 2019 18:52:18 GMT-0700 (Pacific Daylight Time), Manager,"Palo Alto, CA",Current Employee ,Your manager determines your success at VMware,I have been working at VMware full-time for more than a year,2.0,"Your career journey/success at VMware will be defined by your manager. Work/Life Balance, Upward Mobility, Cross Training or any career advancement is only existent if you have a manager and leadership team that will advocate on behalf of you and celebrate your accomplishments. Advocating on behalf of yourself only goes so far when BU management has their favorites.

EPIC Values is a joke and no one is actually held accountable to them. Vmware doesn't have a formal review process which is problematic because your manager is not obligated to communicate in a constructive way room for improvement/celebrate achievements. 

VMware has a LOT of work to do to actually give the representation they strive for outsiders to perceive. Lots of senior leaders that only employ people brought over from their previous companies with aged experience which ultimately stunts innovation and creativity. 

Younger employees are perceived as inexperienced and lacking knowledge. Someone has to either die or leave the company for you to be promoted. Sad because there are actual employees that are invested in the organization but don't have to the opportunity to innovate and make a change. And internal transfers are a joke - an external hire will be given the opportunity first, every time. 

So much for a ""career journey"" within the company. This is contributed to the fact that 90% of the recruiters at VMware are contractors and are not invested in the company and could care less about the candidate recruiting experience, even with an employee referral. 


Pros: 
Unlimited PTO
Generous Paternity Leave
Professional Development Opportunities
Lots of company/family-friendly events for Palo Alto employees
Exposure to a variety of technologies","Lackluster and Mediocre Leadership
No Upward Mobility unless you're a management ""favorite""
Terrible HR and Recruiting for External and Internal Candidates",Start looking at the attrition rate and get to the root cause. Actually analyze all the employee relations complaints and I am sure you will find a common denominator and actually take action. What you accept is what you promote. Perception is everything.,2.0,5.0,3.0,1.0,3.0,3.0,vmware
644,Fri Aug 23 2019 07:26:33 GMT-0700 (Pacific Daylight Time), MTS3,,Current Employee ,Good company to work for,I have been working at VMware full-time,,They have Better Work Culture,"In processes, they're behind many companies of this scale",,3.0,,,,,,vmware
645,Mon Aug 05 2019 00:32:27 GMT-0700 (Pacific Daylight Time), Senior Manager,,Current Employee ,Great place to work,I have been working at VMware full-time for more than 5 years,,Great company to work for.,Issues in IT management. Very biased,Don't be biased and listen to all,5.0,,,,,,vmware
646,Sun Aug 18 2019 18:51:52 GMT-0700 (Pacific Daylight Time), Member of Technical Staff,,Current Employee ,Review,I have been working at VMware full-time,,"1. Enthusiastic team. 
2. Flexible","1. No free food. 
2. Very few company-wide events.",,4.0,,,,,,vmware
647,Thu Aug 01 2019 11:13:04 GMT-0700 (Pacific Daylight Time), Sales,"Bangor, ME",Current Employee ,Best CEO in the US,I have been working at VMware full-time for more than 5 years,1.0,Best CEO in the US/Top Rated Company to work for...,Some folks are not happy with prescription drug benefit,Keep it up!,5.0,4.0,5.0,4.0,4.0,4.0,vmware
648,Tue Jul 30 2019 20:16:28 GMT-0700 (Pacific Daylight Time), Finance,"Palo Alto, CA",Former Employee ,Great place to work!,I worked at VMware full-time for more than 3 years,1.0,Great place to work. Fantastic people and culture. One of the most iconic companies in modern IT infrastructure and cloud computing.,Not much here. Gym is nice but soccer field needs an upgrade.,,5.0,5.0,5.0,5.0,5.0,5.0,vmware
649,Wed Aug 14 2019 09:50:20 GMT-0700 (Pacific Daylight Time), Recruiting Manager,"New York, NY",Former Employee ,Mixed Feelings,I worked at VMware full-time for more than 5 years,1.0,"Colleagues, flexibility, growth, on-campus perks, benefits",Senior Leadership ''favoritism' related promotions,,4.0,5.0,5.0,3.0,4.0,3.0,vmware
650,Thu Aug 15 2019 08:55:14 GMT-0700 (Pacific Daylight Time), Architect,,Current Employee ,Architect,I have been working at VMware full-time for more than 5 years,,Great perks available in the company,better career ladder needs to be defined,,4.0,5.0,4.0,4.0,5.0,4.0,vmware
651,Sun Aug 11 2019 12:47:28 GMT-0700 (Pacific Daylight Time), IT Engineer,"Palo Alto, CA",Former Employee ,Just a number,I worked at VMware full-time for more than 8 years,3.0,The pay and possibly the work life balance.,Everything else. Mediocre benefits package and cronyism in management make this a very average job.,Stop showing the talented people the door. Your management is killing your talent pool.,2.0,3.0,2.0,2.0,4.0,1.0,vmware
652,Mon Aug 12 2019 14:36:35 GMT-0700 (Pacific Daylight Time), Business Development Representative,,Current Employee ,Good Entry-Level Sales Job,I have been working at VMware full-time for less than a year,,"collaborative culture, great company benefits","long path to promotion, disorganized at times",,4.0,5.0,5.0,3.0,5.0,5.0,vmware
653,Mon Jul 22 2019 23:30:50 GMT-0700 (Pacific Daylight Time), Manager,,Current Employee ,"Great benefits, culture growing!",I have been working at VMware full-time for more than a year,,"Benefits are top tier, work life balance and opportunity to work from home is there for most employees. My team and I are working on cutting edge technologies. 

The culture seems to be shifting in the office with new leadership. Lots more opportunities to connect with colleagues and energy in the office. It’s a smaller office so lots of opportunity to engage directly with senior leaders.",It’s a satellite office and while it’s growing it can be hard to stay connected to headquarters. Although the new leader in charge of the office seems to be working on building that connection.,,5.0,5.0,5.0,5.0,5.0,5.0,vmware
654,Mon Jul 22 2019 11:50:39 GMT-0700 (Pacific Daylight Time), Senior Technical Support Engineer,,Current Employee ,VMware is the whole package,I have been working at VMware full-time for more than a year,,"There is a great worklife balance, compensation and bonuses are competitive, culture is great to be a part of and the management is reasonable and supportive.",Do not always feel challenged,Set the bar higher,5.0,5.0,5.0,5.0,5.0,5.0,vmware
655,Mon Aug 05 2019 03:03:57 GMT-0700 (Pacific Daylight Time), MTS2,"Palo Alto, CA",Former Employee ,MTS,I worked at VMware full-time for more than 5 years,,Engineering driven work culture and unknown territories to discover.,No much chance to get promoted,,4.0,4.0,4.0,4.0,3.0,4.0,vmware
656,Wed Jul 24 2019 20:29:19 GMT-0700 (Pacific Daylight Time), Marketing Manager,"Austin, TX",Current Employee ,"Good place to work, bad place for modern marketing careers",I have been working at VMware full-time for more than 3 years,4.0,Work life balance and pay,"Lots of hierarchical issues, the company is not set up to help new companies from acquisitions and struggles with modern marketing. Each BU seems to have to create ad hoc CRM tools and lead scoring models and corporate remains confused on how best to help. Additionally, when issues are pointed out people often take it personally instead of genuinely trying to understand the issue and resolve it.","Improve your decision making at the top, and don't reward those who have a ""let me talk to your manager"" mindset.",3.0,5.0,5.0,3.0,5.0,3.0,vmware
657,Wed Jul 17 2019 22:47:55 GMT-0700 (Pacific Daylight Time), Intern ,,Former Employee ,Great Place to start work,I worked at VMware full-time,,Very friendly people and fun environment.,I lived really far away.,,5.0,,,,,,vmware
658,Thu Aug 01 2019 13:30:01 GMT-0700 (Pacific Daylight Time),,"Palo Alto, CA",Current Employee ,Good company,I have been working at VMware full-time for more than a year,,"Good company environment, culture is very open and supportive. Pay and perks are good.","common big company problems, too many layers in decision making, and things move slow. Hard to find opportunities to get promotion or stretch.",,4.0,5.0,5.0,4.0,5.0,4.0,vmware
659,Wed Jul 17 2019 14:05:27 GMT-0700 (Pacific Daylight Time), Senior Technical Support Engineer,"Broomfield, CO",Current Employee ,Culture is great. Focused on the people getting along rather than skills.,I have been working at VMware full-time for more than 3 years,,"WFH opportunities
Stock options
Food/drinks available always
Bonuses
Events
Opportunity to change the type of work internally","Can be stressful
Overload or high workload",,5.0,5.0,5.0,4.0,5.0,4.0,vmware
660,Thu Jul 11 2019 18:46:30 GMT-0700 (Pacific Daylight Time), Senior Member of Technical Staff,,Current Employee ,good company,I have been working at VMware full-time,,engineer culture and flexible time,not available yet so far,,5.0,,,,,,vmware
661,Wed Jul 10 2019 08:45:51 GMT-0700 (Pacific Daylight Time), Staff Solution Engineer,"Philadelphia, PA",Current Employee ,"Great company, great people, great leadership",I have been working at VMware full-time for more than 5 years,,"While in business for over 20 years, VMware is still a very innovative company, adapting to market changes and trends quickly. In many regards it feels like being at a startup (in all the best ways) with all the benefits and stability of a mature company.
Great culture and ethics make this a fun place to work for.",I will update cons if/when I come across any...,keep doing what you are doing - it's working!,5.0,5.0,5.0,5.0,5.0,5.0,vmware
662,Tue Jul 09 2019 13:47:30 GMT-0700 (Pacific Daylight Time), Software Engineer,,Former Employee ,Great company to work for,I worked at VMware full-time,,"I loved working at VMware. The people are great, the job itself and benefits were awesome. The campus in PA is the most beautiful and the greenest office in the Bay Area.",I have no cons to share.,,5.0,5.0,5.0,5.0,5.0,5.0,vmware
663,Tue Jul 09 2019 13:48:15 GMT-0700 (Pacific Daylight Time), Senior User Experience Designer,,Current Employee ,Great place to work! Nice people and environment.,I have been working at VMware full-time for more than 3 years,,Competitive package. Great work-life balance. Nice people. Supportive management.,Sometimes unclear about the roadmap,,5.0,5.0,5.0,5.0,5.0,5.0,vmware
664,Thu Jul 04 2019 18:19:09 GMT-0700 (Pacific Daylight Time), Senior Solutions Engineer,"Reston, VA",Current Employee ,Great place to work and good internal opportunities,I have been working at VMware full-time for more than a year,,Emphasis on culture and team work. Great internal opportunities.,"High, unrealistic quotas can add pressure on the job and to the wallet",Actively award and acknowledge the people who are doing good work.,5.0,5.0,5.0,5.0,4.0,2.0,vmware
665,Fri Jul 19 2019 09:47:40 GMT-0700 (Pacific Daylight Time), Operations Support Engineer,,Former Employee ,Great company and rich culture,I worked at VMware full-time for more than 3 years,,"Great internal employee culture.
Access to rich resources for personal development.
Good pay.",There were no significant cons for my role.,,4.0,4.0,4.0,4.0,4.0,3.0,vmware
666,Wed Jul 17 2019 18:17:09 GMT-0700 (Pacific Daylight Time), Account Manager,,Current Employee ,Great Place To Work,I have been working at VMware full-time for more than 3 years,,Great benefits and people are awesome,Need to invest in more innovation,,4.0,,,,,,vmware
667,Thu Jul 18 2019 10:08:30 GMT-0700 (Pacific Daylight Time), Director,"Palo Alto, CA",Former Employee ,Truly a great place to work!,I worked at VMware full-time for more than 8 years,,Very strong culture and values. Fantastic pay and benefits. Flexible work environment. Lots of great perks and a beautiful HQ.,Lack of trust among teams.,,4.0,5.0,5.0,4.0,5.0,4.0,vmware
668,Tue Jul 16 2019 06:29:08 GMT-0700 (Pacific Daylight Time), Customer Service Representative,"Atlanta, GA",Former Employee ,Nice,I worked at VMware full-time,1.0,Nice place to work at,24/7 365 schedule thats all,,3.0,,,,,,vmware
669,Fri Jun 28 2019 17:57:55 GMT-0700 (Pacific Daylight Time), Solutions Architect,"Palo Alto, CA",Current Employee ,"Good Culture, Work opportunities, Need to improve benefits on par with Other Tech companies in Bay area",I have been working at VMware full-time for more than 3 years,1.0,"Good Culture, Work opportunities, Fair Learning Opportunities",There is scope for Benefits improvement when compared to Bay Area Tech companies,,5.0,4.0,4.0,4.0,4.0,4.0,vmware
670,Sat Jul 06 2019 12:53:46 GMT-0700 (Pacific Daylight Time), Cloud Management Solutions Engineer,,Current Employee ,"Great place to work, very competitive pay",I have been working at VMware full-time for more than 5 years,1.0," Great compensation
- Challenging Tech"," Micro Management
- Management to focused on #'s and reporting
- Hard to move around due to lack of resources",,4.0,3.0,3.0,2.0,4.0,3.0,vmware
671,Mon Jun 24 2019 12:50:35 GMT-0700 (Pacific Daylight Time), Solutions Engineer,"Reston, VA",Current Employee ,Good Company and Growing,I have been working at VMware full-time for more than 3 years,,Good work life balance in some areas.,Nothing to say here yet,TBD,5.0,5.0,3.0,4.0,4.0,3.0,vmware
672,Fri Jul 05 2019 21:48:02 GMT-0700 (Pacific Daylight Time), MTS3,,Current Employee ,Good place to work,I have been working at VMware full-time,,Good work environment and interesting projects to work on,Different projects merges happen frequently and sometimes causing comotion in team.,,4.0,,,,,,vmware
673,Thu Jun 20 2019 16:27:44 GMT-0700 (Pacific Daylight Time), Human Resources,"Palo Alto, CA",Current Employee ,A hidden gem in tech!,I have been working at VMware full-time for more than 5 years,,"Great people, culture, benefits and pay.",Work life balance is impacted at times.,watch bureaucracy was company grows,5.0,3.0,5.0,5.0,5.0,5.0,vmware
674,Tue Jun 18 2019 10:36:23 GMT-0700 (Pacific Daylight Time), Solution Engineering Manager,"Indianapolis, IN",Current Employee ,Incredible company to work for,I have been working at VMware full-time for more than 10 years,,"continuous innovation, D&I focus, work-life balance, great leaders, awesome culture, 40 hours/yr to give back to your community or cause with matching funds",starting to become a bit bureaucratic as we grow but still a great work/life balance with minimal micromanagement,,5.0,5.0,5.0,5.0,5.0,4.0,vmware
675,Tue Jun 18 2019 13:52:42 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Great company,I have been working at VMware full-time for more than a year,,"benefits, innovation, projects and transparent",work life balance and management,,5.0,2.0,4.0,3.0,2.0,4.0,vmware
676,Tue Jun 18 2019 14:45:57 GMT-0700 (Pacific Daylight Time), Senior Finance Manager,,Former Employee ,"Good company, good pay",I worked at VMware full-time for more than 3 years,,Good company that made transition from on-prem to SaaS. Compensate employees well,Nothing much to be called out.,,5.0,4.0,5.0,3.0,5.0,4.0,vmware
677,Fri Jun 28 2019 08:42:52 GMT-0700 (Pacific Daylight Time), Senior TAM,"Atlanta, GA",Current Employee ,Very good company to work with great benefits and perks.,I have been working at VMware full-time for more than 3 years,,Benefits and Perks. Free snacks in the ATL site. People are very nice to work with.,too many young people in the role of management without the skills to lead. lack of minorities in a high management role .,"Lok within with experienced people. You hired them for that reason, to help build the company of the 21 st century use them. they have awesome ideas.",4.0,4.0,3.0,3.0,4.0,3.0,vmware
678,Fri Jun 21 2019 14:10:29 GMT-0700 (Pacific Daylight Time), Consulting Architect,"San Francisco, CA",Former Employee ,Great as long as you don't mess up the EPIC values!,I worked at VMware full-time for more than 5 years,3.0,Great benefits! Great people! Great pay!,"Management has lost their way. Everything is so politically correct, that if you say something that can be interpreted incorrectly by almost anyone, they fire you. I was fired for something I didn't do, but was reported by a partner sales person, that wasn't even in the room. A good friend said something negative about a competing product, but because there was someone in the room that took offense, they fired him. So whatever you do, don't open your mouth, state your opinion, or be anywhere near non politically correct.","Start trusting your people, not your aggressive HR investigators. I was with VMware for over 5 years, had great reviews, just been promoted, and yet, the investigator didn't believe a word I said, and had me fired. Give people a chance, put them on a plan, something. But firing someone for an off-hand comment, or being in the middle of some people that were talking about things that could cause offense? That's just wrong..",3.0,4.0,3.0,3.0,5.0,4.0,vmware
679,Fri Jun 07 2019 15:11:54 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Great,I have been working at VMware full-time for more than 3 years,,Great place to work with amazing benefits,Some products are better than others,,5.0,,,,,,vmware
680,Tue Jun 04 2019 18:06:30 GMT-0700 (Pacific Daylight Time), Senior Product Manager,"Palo Alto, CA",Current Employee ,Great place to work with life work balance,I have been working at VMware full-time for more than 5 years,,"Great technical talent, work life balance , good managers, transparent leadership, diversity and inclusion",Nothing that comes to mind,,5.0,5.0,5.0,5.0,5.0,5.0,vmware
681,Wed Jun 19 2019 07:27:44 GMT-0700 (Pacific Daylight Time), Sales Representative,"Atlanta, GA",Current Employee ,VMWare Sales,I have been working at VMware full-time for more than 3 years,,Great product and great benefits.,Not much job security here.,,4.0,3.0,4.0,3.0,4.0,3.0,vmware
682,Tue Jun 04 2019 07:22:42 GMT-0700 (Pacific Daylight Time), Associate Consultant,,Current Employee ,Great Place to Work,I have been working at VMware full-time,,Great training programs and benefits,Sometimes there is a lack in communication,,5.0,5.0,5.0,5.0,5.0,5.0,vmware
683,Mon Jun 10 2019 22:52:55 GMT-0700 (Pacific Daylight Time)," Member Technical Staff, Software","Palo Alto, CA",Current Employee ,"Great company, work life balanace",I have been working at VMware full-time for more than 3 years,1.0,Great pay and benefits - great work environment,"Not reliable as layoffs happens 2 times in a year,.",Can't think of anything.,4.0,4.0,4.0,3.0,4.0,3.0,vmware
684,Mon Jun 10 2019 21:12:22 GMT-0700 (Pacific Daylight Time), Product Sales Specialist,,Current Employee ,sales number difficult to achive,I have been working at VMware full-time for more than 3 years,1.0,"good health insurance, flexible company culture",sales number are difficult to achieve especially for emerging product;,,3.0,4.0,4.0,4.0,5.0,2.0,vmware
685,Tue May 28 2019 12:11:04 GMT-0700 (Pacific Daylight Time), Solutions Engineer,"Reston, VA",Current Employee ,The Best,I have been working at VMware full-time for more than a year,," Awesome CEO, values and culture
- Great Products
- Great People
- Great compensation
- Unsurprisingly, awesome IT.",There are none I can think of.,Keep it up,5.0,5.0,5.0,5.0,5.0,5.0,vmware
686,Sun Jun 09 2019 08:01:11 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Solution Engineer,I have been working at VMware full-time for more than a year,,"Friendly environment, excellent products, help customer drive their business","Nothing really, I love it",,4.0,3.0,4.0,3.0,5.0,3.0,vmware
687,Wed May 22 2019 14:15:13 GMT-0700 (Pacific Daylight Time), Senior Program Manager,"Atlanta, GA",Current Employee ,Sr. Program Manager,I have been working at VMware full-time for more than a year,,"Salary, Benefits, Culture, Flexibility, Job is never boring, Manager","Commute, traffic, people that have been in the company for many years think they deserve a promotion, complaint and look you down",Keep up building great leaders that provide flexibility and empower people,5.0,5.0,5.0,4.0,4.0,5.0,vmware
688,Mon May 20 2019 22:08:51 GMT-0700 (Pacific Daylight Time), Staff Engineer II,"Palo Alto, CA",Current Employee ,Happy here for decade,I have been working at VMware full-time for more than 8 years,,Cool technology to work on. Always get to work on something new,"At times, can be stressful based on load.","Don't micro-manage, especially senior engineers.",5.0,4.0,5.0,4.0,4.0,3.0,vmware
689,Wed May 29 2019 15:14:37 GMT-0700 (Pacific Daylight Time), Business Analyst,"Austin, TX",Former Employee ,Too much politics,I worked at VMware full-time for more than 10 years,1.0,Good people. Good campus. Good culture.,Politics. Pretty talks. No career path.,,3.0,2.0,4.0,2.0,5.0,4.0,vmware
690,Mon May 06 2019 20:03:48 GMT-0700 (Pacific Daylight Time), Project Manager,"Palo Alto, CA",Current Employee ,It’s really a good place,I have been working at VMware full-time for less than a year,1.0,"Work life balance, true collaboration and transparency, and intelligent colleagues",None that I know of...,Continue to keep VMware culture intact,5.0,5.0,5.0,5.0,4.0,4.0,vmware
691,Fri May 24 2019 13:23:22 GMT-0700 (Pacific Daylight Time),,,Former Employee ,Great company,I worked at VMware full-time for more than 3 years,,"Good/challenging work, open to new ideas, excellent benefits.","Too big, becoming increasingly political.",,4.0,4.0,5.0,4.0,5.0,3.0,vmware
692,Wed May 22 2019 16:18:58 GMT-0700 (Pacific Daylight Time), Service Enablement Program Manager,,Former Employee ,Beautiful working environment and great employee services.,I worked at VMware full-time for less than a year,,"Nice ambient, great collaboration and people to work with",Not rewarding contractors correspondingly,Have long term visions and understanding that people and talents are way more important than profits to sustain the business.,3.0,,,,,,vmware
693,Wed May 08 2019 09:42:55 GMT-0700 (Pacific Daylight Time), Marketing Analyst,"Palo Alto, CA",Current Employee ,Marketing Analytics and Community,I have been working at VMware full-time for more than a year,,Great Flexibility and diverse teams,Seasonal Big Events Rush Causes Stress,,5.0,5.0,5.0,5.0,5.0,5.0,vmware
694,Sat May 04 2019 13:31:32 GMT-0700 (Pacific Daylight Time), Network Virtualization Engineer,"Broomfield, CO",Current Employee ,WOW,I have been working at VMware full-time for less than a year,1.0,Collaboration and professionalism at their finest. Too many employee perks to mention and bleeding edge/ all encompassing training and professional developement.,None yet. Management could provide slightly more direction for newbies,Keep it up!,5.0,4.0,5.0,4.0,5.0,4.0,vmware
695,Sun May 19 2019 19:32:28 GMT-0700 (Pacific Daylight Time), Senior Program Manager,"Palo Alto, CA",Former Employee ,Great Company,I worked at VMware full-time for more than 8 years,,Treat employee well. Great benefits and compensation. No 12+ hour days. Great co-workers.,Infrastructure not able to support the rapidly growing companany.,Doing a good job. Keep focused on employee training and support.,4.0,4.0,5.0,5.0,4.0,,vmware
696,Thu May 16 2019 07:31:03 GMT-0700 (Pacific Daylight Time), Finance Manager,"Palo Alto, CA",Former Employee ,Great company but your manager makes or breaks your day!,I worked at VMware full-time for less than a year,3.0,"Voted as one of the best companies to work for, nice campus, good salary and benefits.",Had a condescending manager and that ruined the experience.,,2.0,2.0,3.0,3.0,4.0,2.0,vmware
697,Tue May 14 2019 11:06:36 GMT-0700 (Pacific Daylight Time), Senior Member of Technical Staff,"Austin, TX",Current Employee ,"Great benefits, great tech, okay management",I have been working at VMware full-time for more than a year,,"Great tech, lots of interesting problems to solve, great benefits",Managers can either be bullies/hostile or completely disconnected - no middle ground,"Enforce EPIC standards more forcefully, and lead by example",4.0,5.0,5.0,3.0,5.0,3.0,vmware
698,Sun Apr 28 2019 21:20:19 GMT-0700 (Pacific Daylight Time),,,Current Employee ,Good place to work,I have been working at VMware full-time for more than 5 years,,"Work-life balance, good tech leaders","Layout per year, a little risky in some BU",,5.0,5.0,5.0,5.0,4.0,4.0,vmware
699,Wed May 08 2019 01:23:52 GMT-0700 (Pacific Daylight Time), Finance Manager,"Palo Alto, CA",Former Employee ,Not what it used to be,I worked at VMware full-time for more than 5 years,2.0,"Great products, competitive comp, global, good work/life","Too political, limited promotions, limited pay increases, culture has changed for the worse",,3.0,4.0,3.0,3.0,4.0,3.0,vmware
700,Fri May 10 2019 12:20:26 GMT-0700 (Pacific Daylight Time), Senior Member of Technical Staff,"Palo Alto, CA",Current Employee ,Good place to work with good sal and benefits,I have been working at VMware full-time for more than 5 years,,"$, benefits, great campus and great culture","Less ML work, feel like small fish in big (very big) pond",,4.0,3.0,4.0,3.0,4.0,3.0,vmware
701,Mon Apr 29 2019 21:29:09 GMT-0700 (Pacific Daylight Time), Engineer,,Former Employee ,"Accept offers with caution. Excellent CEO, bad middle management.",I worked at VMware full-time for more than a year,6.0,"Excellent growth .
Excellent product portfolio.
Excellent CEO.

 Pat Gelsinger the CEO has done an awesome job of taking over the reigns of the company a few years ago and completely turning it around. The stock price has more than quadrupled under his leadership. He has acquired many startups and successfully integrated them into the VMWare product portfolio and eco system. Hats off to him for creating wealth for the employees, for the owners (EMC and now DELL) and for the investors. One of the finest CEO in the Silicon Valley.","Along with these product acquisitions, this company has also acquired managers and middle management who have no idea of what management is. There is no one culture at VMWare. There are as many cultures as the number of startups acquired and the managers of these startups are free to treat their teams as they want. HR is very weak in this company and they are not for you. They are for the managers ... dont rely on them. 

I had a short stint at one of these acquired startups called Velocloud. Incompetent management, very high attrition rate. Lot of senior engineers leaving the group. Those who stick around are there to vest their stocks. The founders thinks of themselves to be semi god who will punish you if you decide to leave their kingdom. Their technology stack will teach you nothing. Accept their offer if you cannot find a job somewhere else.

Most of these startup managers lack sympathy and empathy and will not hesitate to show you their powers and make you feel that you are a POS compared to them.

Dont be fooled by the ""100 Best Companies to Work"" or ""Top paying company"" marketing or the campus. It is actually an average paying and a very weak middle management company. Shop around, I am confident you will get a much better offer and a lot better culture, work environment and work life balance. I know people who were offered twice the package they were making at VMWare.",Pat: VMWare is doing an awesome job and will continue to do so under your excellent leadership. Fix the culture and HR of this company. Let HR be for the engineers also and not just for the managers.,2.0,2.0,1.0,3.0,3.0,1.0,vmware
702,Sat May 04 2019 14:37:00 GMT-0700 (Pacific Daylight Time), Staff Engineer,"Palo Alto, CA",Current Employee ,Nice company less nice management,I have been working at VMware full-time for more than 3 years,1.0,"Decent compensation, nice campus, generally nice people to work with",Inept IT and management. NSBU senior management suffers from nepotism and lack of technical understanding,,4.0,2.0,3.0,3.0,3.0,2.0,vmware
703,Tue Apr 16 2019 08:56:33 GMT-0700 (Pacific Daylight Time), Senior Engagement Manager,"Boston, MA",Former Employee ,Great Company to Work for,I worked at VMware full-time for more than a year,1.0,Great people; flexible hours and option to work from home.,limited options for career development,,5.0,4.0,5.0,2.0,5.0,4.0,vmware
